buffersize averagequerythroughput standarddeviationquerythroughput
25 345.85 2.74
50 830.85 5.18
75 1443.82 9.47
100 2065.69 33.24
150 3309.83 52.02
200 4307.84 62.96
250 5089.44 73.92
300 6020.32 48.25
350 7023.31 80.80
400 7498.55 101.45
450 8539.62 198.25
500 9167.21 814.02
600 10759.35 158.69
700 13853.51 171.16
800 13940.03 436.74
900 14187.53 315.85
1000 14927.92 568.99
1500 23352.03 527.15
2000 35912.31 4323.16
2500 45109.12 2128.17
3000 48377.97 3787.86
3500 47932.01 765.47
4000 49246.06 1923.75
4500 49411.58 1745.27
5000 49295.15 50203.81
