buffersize averagequerythroughput standarddeviationquerythroughput
25 347.78 2.39
50 831.91 3.10
75 1444.86 5.82
100 2072.32 25.88
150 3348.22 7.66
200 4385.25 33.30
250 5252.66 77.79
300 6199.07 89.60
350 6640.70 154.75
400 7196.31 137.51
450 8134.26 111.52
500 8449.21 125.02
600 10772.81 150.20
700 13718.40 347.18
800 13618.57 153.30
900 14436.79 662.22
1000 14785.46 513.78
1500 25254.46 371.45
2000 38413.31 316.54
2500 47269.44 195.76
3000 50312.63 1181.77
3500 50453.39 1348.09
4000 50058.44 1811.93
4500 49501.10 1074.92
5000 49098.68 49833.55
