buffersize averagequerythroughput standarddeviationquerythroughput
50 1861.76500336839 10.5968349309
100 3683.76513267057 117.3337666464
150 6517.92642050138 81.4026706155
200 8624.69127247162 83.5573737737
250 11493.85885259690 57.9967563536
300 13173.01942935150 134.3502280963
350 15881.32162099010 71.9070706519
400 17447.95186414360 258.2106432916
450 19195.72186404700 50.3519854959
500 21232.17822242700 137.4000013605
550 23349.87299110570 110.4163635682
600 25274.29856625050 444.5493055499
650 27920.96828134320 171.5317137736
700 29381.61999061390 588.0345614292
750 30619.43804403760 679.2935010900
800 31221.32840924520 366.5974063191
850 32156.20558960010 377.3643855983
900 30948.05833076810 1414.0465404144
950 32509.78600835110 636.3913404699
1000 31215.99995577200 288.3463047075
1050 36035.88629667180 223.5837252208
1100 36227.77898493740 40.2006738505
1150 36526.64418716690 296.7384267517
1200 36638.04527216860 107.0631094724
1250 37011.95948742870 392.0026046304
1300 36715.15494900150 127.6515188524
1350 36843.64232818760 55.0313792500
1400 36919.05555767040 168.6210082614
1450 36955.76201348300 654.1657382217
1500 36842.61898044810 52.0658074684
2000 36665.13486986130 590.1911418883
2500 37444.69055287550 295.0238268134
3000 37244.30226334840 446.7790156600
3500 36193.60694678400 520.3227397123
4000 37520.48891957280 94.7947079661
4500 36330.20099694070 257.4447301798
5000 37327.21430780220 76.0651537293
6000 37256.98513189930 638.1324359636
7000 36997.81656140570 557.3280115557
8000 37091.87742344550 275.6161873530
9000 36405.19160545960 810.0905931897
10000 37689.39819603170 360.9263704618
