buffersize averagequerythroughput standarddeviationquerythroughput
100 74.37 2.130044
200 96.63 1.028408
300 108.56 7.123793
400 122.23 8.097392
500 158.69 12.201116
600 183.92 1.232351
700 219.63 3.160348
800 306.72 17.480791
900 345.02 12.634583
1000 434.52 20.665413
1500 1665.27 243.505608
2000 2630.44 199.788423
2500 4365.78 55.675422
3000 5517.83 5.027566
3500 7259.07 349.616865
4000 8540.08 302.192430
4500 8704.25 1628.111981
5000 10724.20 1546.728651
5500 11774.61 1242.844019
6000 11287.75 685.203185
6500 12401.84 1101.497265
7000 13160.62 828.261647
7500 12584.00 104.235785
8000 14401.77 1126.237427
8500 14740.64 210.908914
9000 18095.49 573.187490
9500 16847.30 492.490602
10000 18060.50 749.397891
11000 16742.22 4068.607469
12000 21360.97 235.781608
13000 23045.85 365.050386
14000 23385.32 666.555049
15000 24126.64 576.334953
30000 24149.72 372.515722
