buffersize averagequerythroughput standarddeviationquerythroughput
100 73.92 0.912664
200 87.48 0.882207
300 111.46 1.154479
400 129.82 2.398560
500 153.38 4.834186
600 171.01 15.176880
700 218.72 3.480125
800 292.22 17.239840
900 354.11 19.586833
1000 440.29 23.197132
1500 1285.93 83.930417
2000 2664.76 103.382630
2500 4019.11 167.637343
3000 5504.08 67.035480
3500 6913.32 187.858982
4000 8612.50 62.134101
4500 10646.66 307.571264
5000 11646.66 511.137994
5500 10536.99 631.225655
6000 10955.27 3078.898898
6500 12320.31 140.971217
7000 12909.83 550.492532
7500 15852.58 1146.955156
8000 14157.55 976.405969
8500 15152.36 392.132410
9000 16384.23 732.572388
9500 16840.19 366.771318
10000 17260.89 34.352153
11000 19435.50 198.318344
12000 21276.35 68.250112
13000 22733.28 601.697271
14000 22375.31 766.584317
15000 24402.44 384.038789
30000 23716.82 1513.179245
