buffersize averagequerythroughput standarddeviationquerythroughput averagehitrate standarddeviationhitrate
100 47.737 0.246351 0.889034143 0.000966297
250 105.970 0.600222 0.952674785 0.000176443
500 402.847 4.376226 0.983621425 0.000219277
750 1143.807 5.464658 0.993285603 5.76179E-05
1000 2144.997 11.712234 0.995939644 2.11117E-05
2000 6250.973 6.316245 0.997993326 2.76144E-05
3000 7336.973 298.477649 0.998179933 2.33388E-05
4000 7686.930 14.251522 0.998407519 7.56909E-06
5000 9700.850 34.706677 0.998589679 4.14534E-06
6000 11835.753 39.005730 0.998698653 1.74706E-05
7000 13582.360 431.361905 0.998762776 5.40729E-06
8000 15113.187 146.235190 0.99880408 1.41091E-06
9000 15243.130 266.995257 0.99880601 2.34934E-06
10000 15089.130 56.614658 0.998803649 2.69585E-07
15000 15451.150 83.154430 0.998806971 8.88415E-07
20000 14836.830 267.157178 0.998802128 2.78072E-06
