buffersize averagequerythroughput standarddeviationquerythroughput averagehitrate standarddeviationhitrate
50 43.963 0.346153 0.795548168 0.000426876
100 57.283 0.347403 0.850807059 0.000965676
250 113.517 0.466928 0.914127172 0.000515688
500 434.993 11.858967 0.961031945 0.000677697
750 1208.160 0.874109 0.983937626 0.000198815
1000 2224.377 2.951354 0.991815759 5.43869E-05
2000 6351.857 8.664573 0.997268964 8.39514E-06
3000 7845.940 692.963054 0.998054579 8.03598E-05
4000 7697.837 24.859351 0.99823843 9.24432E-06
5000 9766.943 46.358482 0.998543398 2.73062E-05
6000 11788.403 86.012700 0.998693958 2.29284E-05
7000 13793.170 146.366291 0.998779808 7.82634E-06
8000 15199.307 155.122907 0.998805207 9.14399E-07
9000 15334.917 73.539381 0.998806262 7.41473E-07
10000 15774.417 109.239659 0.998810011 1.23811E-06
15000 15057.953 35.263201 0.998804186 1.13014E-06
20000 15667.930 299.858993 0.998808342 2.6438E-06
