buffersize averagehashtablelookups standarddeviationhashtablelookups
50 3936393 159849
100 5749722 378014
200 7475307 1077181
300 15475617 1660451
400 28790700 3238323
500 42810782 592756
600 55522383 5468071
700 76734987 2328408
800 94827764 453980
900 114311584 790789
1000 136071680 1498012
1500 239838266 420105
2000 348217959 1996738
2500 422075728 16530363
3000 394954170 25386507
3500 379410889 19820692
4000 419797908 60293
4500 497111165 27427322
5000 545286843 9115493
5500 592362746 115801
6000 649029165 871496
6500 704570550 2396857
7000 763053009 275476
7500 812938999 13427597
8000 849727687 14214507
8500 849960962 30782032
9000 798014885 52360277
9500 847217145 17114636
10000 830437392 12767429
11000 899907809 44315819
12000 861966387 45786795
13000 846235006 6413673
14000 695399339 199799260
15000 851645023 10379369
16000 832941667 8422899
17000 841473421 7017643
18000 860925587 22197162
19000 857430560 16066001
20000 824831111 10631577
