buffersize averagequerythroughput standarddeviationquerythroughput averagehitrate standarddeviationhitrate
50 41.31 0.321662 0.838010275 0.002251461
100 50.58 0.398358 0.885401254 0.00162993
250 93.85 10.414147 0.936189572 0.002734563
500 479.91 6.809880 0.960372277 0.000611264
750 1302.47 10.181429 0.980679865 0.000400343
1000 2326.98 31.215411 0.988330327 9.4302E-05
2000 6383.77 31.113845 0.996513074 0.00020801
3000 7292.26 468.821942 0.997674767 3.64142E-05
4000 7754.19 23.114330 0.998119868 2.77901E-05
5000 9843.59 241.155777 0.998352429 0.000121977
6000 11747.98 48.334308 0.998629562 2.63581E-05
7000 13018.73 525.597190 0.99872278 4.29735E-06
8000 15613.01 261.641215 0.998806597 1.4298E-06
9000 14678.31 958.026735 0.998799517 8.73732E-06
10000 15254.50 238.774727 0.99880571 1.60282E-06
15000 15645.09 198.531520 0.998808902 9.57606E-07
20000 15160.98 194.639581 0.998804439 1.61518E-06
