buffersize averagequerythroughput standarddeviationquerythroughput averagehitrate standarddeviationhitrate
50 41.31 0.321662 0.838010275 0.002251461
100 50.58 0.398358 0.885401254 0.00162993
200 67.60 2.315374 0.930062323 0.004508223
300 127.67 13.265763 0.93883857 0.003229732
400 278.20 28.940464 0.951074184 0.003436917
500 479.91 6.809880 0.960372277 0.000611264
600 757.47 46.101802 0.972489749 0.003735737
700 1144.23 45.906529 0.976572587 0.000260603
800 1512.08 10.948806 0.981653768 0.000187185
900 1901.07 7.787072 0.985676636 0.000201304
1000 2326.98 31.215411 0.988330327 9.4302E-05
1500 4335.06 15.979867 0.994748846 6.61358E-05
2000 6383.77 31.113845 0.996513074 0.00020801
2500 7776.39 303.895352 0.997619501 8.37544E-05
3000 7292.26 468.821942 0.997674767 3.64142E-05
3500 6986.50 383.053573 0.997702203 0.000127137
4000 7754.19 23.114330 0.998119868 2.77901E-05
4500 9159.17 515.502555 0.99820495 8.66871E-05
5000 9843.59 241.155777 0.998352429 0.000121977
5500 10817.41 83.278622 0.998530509 1.35583E-05
6000 11747.98 48.334308 0.998629562 2.63581E-05
6500 12713.12 73.343708 0.998708957 2.40291E-05
7000 13018.73 525.597190 0.99872278 4.29735E-06
7500 13644.78 674.216287 0.998769904 2.14591E-05
8000 15613.01 261.641215 0.998806597 1.4298E-06
8500 15608.37 562.477312 0.998808737 4.00498E-06
9000 14678.31 958.026735 0.998799517 8.73732E-06
9500 15554.94 315.122100 0.99880853 2.30115E-06
10000 15254.50 238.774727 0.99880571 1.60282E-06
11000 16514.17 797.312251 0.99881536 6.54724E-06
12000 15831.37 834.643159 0.998810372 6.28197E-06
13000 15546.46 111.618183 0.998808048 5.22187E-07
14000 12798.33 3642.422985 0.998765781 5.70551E-05
15000 15645.09 198.531520 0.998808902 9.57606E-07
16000 15304.09 151.927888 0.998805988 1.34377E-06
17000 15461.75 119.779975 0.998807031 1.41332E-06
18000 15816.63 398.452578 0.998809827 2.97847E-06
19000 15743.84 294.035322 0.998810102 2.16906E-06
20000 15160.98 194.639581 0.998804439 1.61518E-06
