buffersize averagequerythroughput standarddeviationquerythroughput averagehitrate standarddeviationhitrate
100 47.737 0.379327 0.889089232 0.002543618
250 106.160 0.765419 0.953241159 0.000476726
500 405.637 1.399055 0.983623393 7.7632E-05
750 1143.423 4.696852 0.99328005 1.62191E-05
1000 2154.760 6.300497 0.995907207 2.89942E-05
2000 6269.773 14.276508 0.997988679 1.27656E-05
3000 7224.503 226.834599 0.998176945 2.62577E-05
4000 8114.440 484.328194 0.998360498 2.75389E-05
5000 9674.577 16.108922 0.998587786 1.93973E-06
6000 11386.873 564.561532 0.998681728 2.46705E-05
7000 13661.570 41.762596 0.998759339 5.11242E-07
8000 15702.553 66.186242 0.998807748 1.78953E-06
9000 15399.603 64.130427 0.998806772 5.46237E-07
10000 15404.777 291.269934 0.998806259 2.91795E-06
15000 14394.120 1941.901113 0.998795282 2.03887E-05
20000 14407.947 1281.428112 0.998796388 1.33594E-05
