buffersize averagequerythroughput standarddeviationquerythroughput averagehitrate standarddeviationhitrate
50 42.780 0.094163 0.819712247 0.001234703
100 56.453 0.250377 0.863974094 0.000830104
250 112.347 0.661782 0.917549125 0.000351161
500 432.540 4.565224 0.962791581 0.000234726
750 1192.757 7.156695 0.984359077 0.000207911
1000 2211.180 7.059268 0.992333977 7.80991E-05
2000 6326.717 23.284268 0.997416404 6.36955E-05
3000 7073.483 428.292992 0.997996181 5.10478E-05
4000 7694.423 19.687611 0.99827347 2.02479E-06
5000 9745.477 56.909827 0.99855041 8.62385E-06
6000 11764.200 49.086717 0.998712406 5.02392E-06
7000 13197.053 217.149272 0.99878591 4.20466E-06
8000 14734.873 836.008723 0.998801133 8.88747E-06
9000 15375.280 149.988072 0.99880669 2.23433E-06
10000 15572.813 422.406790 0.998808016 3.30888E-06
15000 15489.893 167.673572 0.998808343 1.74082E-06
20000 15779.857 141.069596 0.998809772 1.15437E-06
