buffersize averagehashtablelookups standarddeviationhashtablelookups
50 2173826 236701
100 2720490 126977
200 4553583 461250
300 5595095 1287795
400 14727902 1895200
500 16600762 2229187
600 18114883 305784
700 17072556 333862
800 15678876 173788
900 14123623 61765
1000 13288750 211131
1500 8628618 217976
2000 6750460 195006
2500 4987941 171314
3000 4515815 226770
3500 4293138 257489
4000 4015383 42106
4500 4079161 54256
5000 4049836 49098
5500 4448037 76731
6000 4620361 41784
6500 4832211 183615
7000 5217956 67791
7500 5504375 20723
8000 5737256 184343
8500 4935968 818560
9000 5601089 95030
9500 5581950 75407
10000 5517468 193074
11000 5636394 91235
12000 5556941 125887
13000 5517101 195144
14000 5945136 278692
15000 5506641 181657
16000 5599708 95352
17000 5278287 845315
18000 5435099 11952
19000 5353792 243841
20000 5321702 343527
