buffersize averagequerythroughput standarddeviationquerythroughput averagehitrate standarddeviationhitrate
50 41.53 0.286395 0.836720778 0.00228059
100 50.11 0.379327 0.887287955 0.000568698
250 82.63 1.795049 0.936189572 0.002734563
500 466.25 17.301746 0.962901977 0.003258393
750 1302.44 14.307514 0.980679865 0.000400343
1000 2330.55 19.511378 0.987634472 0.000467229
2000 6404.30 31.002985 0.996484921 0.00014393
3000 6719.32 819.769109 0.997495645 0.000205483
4000 8040.24 117.718097 0.998017251 6.15506E-05
5000 8829.98 1276.205894 0.998472635 8.3961E-06
6000 11825.46 40.864714 0.998628376 2.41852E-05
7000 13108.82 8.812965 0.998732045 1.74006E-05
8000 15369.60 444.694725 0.99878366 1.8341E-05
9000 15822.04 262.493452 0.998810146 2.59859E-06
10000 15580.59 548.722447 0.998808153 4.22866E-06
15000 15556.69 511.031611 0.998808184 3.44295E-06
20000 15030.89 982.963658 0.998803559 8.38126E-06
