buffersize averagequerythroughput standarddeviationquerythroughput averagehitrate standarddeviationhitrate
50 41.53 0.286395 0.836720778 0.00228059
100 50.11 0.379327 0.887287955 0.000568698
200 72.75 5.000729 0.92751278 0.001807537
300 118.62 12.992929 0.945463203 0.003334905
400 259.74 9.996200 0.94807597 0.003145166
500 466.25 17.301746 0.962901977 0.003258393
600 747.03 5.428409 0.969676639 0.000105502
700 1107.37 10.563615 0.977436725 0.000259423
800 1498.89 10.046586 0.981296477 0.000231931
900 1929.25 29.625732 0.984543677 0.000283523
1000 2330.55 19.511378 0.987634472 0.000467229
1500 4339.47 39.922222 0.994652959 0.000205959
2000 6404.30 31.002985 0.996484921 0.00014393
2500 5933.87 1147.938304 0.996898818 0.000504389
3000 6719.32 819.769109 0.997495645 0.000205483
3500 7665.28 236.794742 0.997833898 0.000114
4000 8040.24 117.718097 0.998017251 6.15506E-05
4500 8714.50 18.535789 0.998279491 4.62037E-05
5000 8829.98 1276.205894 0.998472635 8.3961E-06
5500 10877.27 39.252720 0.998543978 1.99477E-05
6000 11825.46 40.864714 0.998628376 2.41852E-05
6500 11466.85 1827.332444 0.998710967 4.66144E-05
7000 13108.82 8.812965 0.998732045 1.74006E-05
7500 14598.81 464.047568 0.998754951 4.61448E-06
8000 15369.60 444.694725 0.99878366 1.8341E-05
8500 13923.34 2348.754432 0.998789835 2.64415E-05
9000 15822.04 262.493452 0.998810146 2.59859E-06
9500 15780.21 211.884042 0.99881013 1.27036E-06
10000 15580.59 548.722447 0.998808153 4.22866E-06
11000 15927.46 262.998724 0.998811151 1.99156E-06
12000 15700.80 360.170043 0.998809154 3.28946E-06
13000 15582.64 562.056773 0.998808476 4.61135E-06
14000 16815.46 806.523755 0.998817173 5.94586E-06
15000 15556.69 511.031611 0.998808184 3.44295E-06
16000 15815.04 276.274431 0.998810052 2.27658E-06
17000 14892.43 2422.457239 0.998799815 2.40616E-05
18000 15358.85 32.704961 0.998806743 3.50065E-07
19000 15108.80 700.659483 0.998803844 7.07773E-06
20000 15030.89 982.963658 0.998803559 8.38126E-06
